DialogNum	DialogAndTalkerKo
50211	(빠르게 발걸음을 옮겨 돌아간다):나
50212	'젊은 청년이... 잘 먹고 다녀야지...':아저씨
50213	'홀쭉해가지고 안색도 안 좋고...마음이 안 좋구만...':아저씨
70200	(지긋이-):아저씨
70201	(지그으으읏이--):아저씨
70202	(빠안히-):아저씨
70203	(빠아아아안히--):아저씨
70204	저...:나
70205	어! 그래 웬일로 말을 거는가!:아저씨
70206	아... 그... 왜 그렇게 항상 저를 보시는지....:나
70207	자네를 보니까 내 젊은 시절 생각이 나서 말이지. 참 많이 힘들었지, 그땐:아저씨
70208	불편했다면 미안하네...:아저씨
70209	....(멋쩍은 미소를 짓는다.):아저씨
70210	....:나
	
70212	자네, 얼굴 보니까 밥은 먹고 다녔나 싶네.:아저씨
70213	젊은 청년이 이렇게 축 처져서야 쓰나, 쓰나!:아저씨
70214	하하하... (미소를 띄며):나
70215	신경 써 주셔서 감사합니다.:나
70216	안녕히 계세요.:나
70217	그래. 다음에 또 봐 청년! 밥 꼭 잘 챙겨 먹고!:아저씨
70218	(발걸음을 돌린다.):나
10300	...:나
10301	'꼬마아이네...':나
10302	(모래놀이에 열중인 듯하다.):꼬맹이
20300	...:나
20301	'그러고 보니... 이 시간에... 혼자 노네..':나
20302	(끄적끄적 나뭇가지로 모래를 판다.):꼬맹이
30300	에취!:꼬맹이
30301	'음...?':나
30302	'.... 오늘도 혼자 있네..? 학교는...':나
30303	(오늘은 두꺼비집을 만들고 있다.):꼬맹이
30304	'흠...':나
40300	(기운 없이 나뭇가지만을 만지작거리고 있다.):꼬맹이
40301	'흠...':나
40302	꼬마야.:나
40303	...?:꼬맹이
40304	아저씨는 누구세요?:꼬맹이
40305	'어...음 아저씨라...'   큼 크흠..:나
40306	음 아저...씨...는 여기 동네 주민이야.:나
40307	그.. 항상 혼자 놀고 있길래. 부모님은 어디 계셔?:나
40308	학교는 안 가니?:나
40309	.... 쿨쩍 (코를 먹으며):꼬맹이
40310	학교 안 갈거에요..:꼬맹이
40311	... 무슨 일 있는 거야?:나
40312	아니에요. 아저씨 저리 가요.:꼬맹이
40313	모르는 사람이랑 이야기하지 말랬어요.:꼬맹이
40314	아...음 그래 교육을 잘 받았구나 음...:나
40315	... 그럼 아저씨가 들어만 줄게:나
40316	어때?:나
40317	그럼 모르는 사람이랑 이야기하는 게 아니잖아! 혼잣말한 거지 우리 꼬마는!:나
40318	꼬마 아니에요!:꼬맹이
40319	(장난스럽게  웃으며) 그러면 꼬마 아니면 뭔데:나
40320	아저씨랑 이제 말 안 할 거에요!:꼬맹이
40321	저리가요!:꼬맹이
40322	알았어, 알았어 (귀엽다는 듯 미소를 지으며):나
40323	다음에 또 보자!:나
40324	(뾰루퉁하게 입이 나오며) 흥!:꼬맹이
40325	다음에 또 봐 (꼬마에게 손을 흔든다.):나
10400	후.....:(나)
10401	또.. 이 악몽인가.:(나)
10402	벗어날 수 없는 건가....:(나)
10403	지겹다...:(나)
10404	....:(나)
10405	....:(나)
10406	끝은 있을까.:(나)
10407	...:(나)
10408	악몽... 끝없을 텐데 이렇게 나아가 봤자...:(나)
10409	우중충한 악몽들.... :(나)
10410	.... 상점...? 분명 이전엔 없었는데...?:(나)
10411	이딴 악몽... 이제 끝내주겠어... .... 하지만... 정말... 쓰러트리고 나면.... 끝이 날까....?:(나)
10412	.... :(나)
10413	또 다시 시작인가.:(나)
10414	이번엔 무사히 넘길 수 있을까.:(나)
10415	매번 똑같이 반복되는 건데.... 익숙해질 만한데... 힘드네:(나)
10416	....:(나)
10417	....:(나)
10418	이런 말들을 되풀이하는 것도 지겹네:(나)
10419	.... 후 아무리 그래도 이런 것에 죽긴 싫어:(나)
10420	참...무시무시하네:(나)
10421	....:(나)
10422	다시 한 번. 한 걸음 더.:(나)
10423	누구도 대신해 주지 않아. 내가 해야만 해.:(나)
10424	또 시작이군... 이 끔찍한 악몽.:(나)
10425	꿈에서 일어나지 않고, 푹 잘 수 있는 날이 올까.:(나)
10426	다른 건 몰라도, 멈추진 않을 거야.:(나)
10427	....:(나)
10428	....회사에서 그런 일 당했다고 무너질 수 없어:(나)
10429	....:(나)
10430	....:(나)
10431	몇 번이나 반복했지? 매번 되풀이... 이번엔... 다를 거다.:(나)
10432	....:(나)
10433	....:(나)
10434	이걸 넘기면 끝일까? 아니, 끝일 리 없어. 그래도... 나아가야지.:(나)
10435	수백 번 죽었어도... 그 끝에서 나를 찾아야만 해.:(나)
10436	끝은 있을까.:(나)
10437	....:(나)
10438	한 걸음 더. 그게 지금 내가 할 수 있는 최선이지.:(나)
10439	....:(나)
10440	....:(나)
10441	지겹지만, 지금 멈추면 끝없이 또 빨려 들어갈 뿐이야.:(나)
10442	이겨내야만 해. 선택의 여지는 없어.:(나)
10443	....:(나)
10444	다시 한번. 한 걸음 더.:(나)
10445	....:(나)
10446	이 트라우마 모두 넘어설 때까지... 나는 나아갈 거야.:(나)
10447	이 망할 악몽... 이젠 끝내버리겠어.:(나)
10448	이번엔 넘어설 수 있을까.:(나)
10449	....:(나)
10450	....:(나)
10451	다른 건 몰라도, 멈추진 않을 거야. 나 자신을 또 다시 포기하지 않을 거야.:(나)
10452	이제 무의미하게 흘러가는 시간은 그만.:(나)
10453	...:(나)
10454	....:(나)
10455	이걸 넘기면 끝일까?:(나)
10456	 아니, 끝일 리 없어. 하지만 그래도 나아가야지.:(나)
10457	....:(나)
10458	그들 모두를 넘어설 때까지... 나는 나아갈 거야.:(나)
10459	이 망할 악몽... 이제는 끝내버리겠어.:(나)
